half,disk,layer,zone,con,tr,chipid,dx,dy,dz,dRx,dRy,dRz
0,0,0,0,0,5,0,-8.72873,-1.7304,-45.2977,-89.9649,2.41179e-15,-179.941
0,0,0,0,0,6,1,-8.73265,-4.74703,-45.3183,-89.9649,1.69155e-15,-179.941
0,0,0,3,1,0,2,8.24902,-1.74248,-45.2983,-89.9649,-3.51556e-15,-179.941
0,0,0,3,1,1,3,8.28846,-4.74979,-45.3547,-89.9649,2.28539e-15,-179.941
0,0,0,3,2,17,4,9.99094,-1.73299,-45.3472,-89.9649,8.13024e-16,-179.941
0,0,0,3,2,16,5,9.99361,-4.74978,-45.37,-89.9649,8.50127e-16,-179.941
0,0,1,3,2,17,6,-9.91009,-1.72461,-46.7727,-89.9649,-3.50834e-15,0.0589287
0,0,1,3,2,16,7,-9.89959,-4.74053,-46.7544,-89.9649,-3.50834e-15,0.0589287
0,0,1,3,1,0,8,-8.15244,-1.74162,-46.7037,-89.9649,-3.50834e-15,0.0589287
0,0,1,3,1,1,9,-8.18368,-4.74218,-46.7433,-89.9649,-3.50834e-15,0.0589287
0,0,1,0,0,5,10,8.83276,-1.72914,-46.78,-89.9649,-3.50834e-15,0.0589287
0,0,1,0,0,6,11,8.83343,-4.74454,-46.7852,-89.9649,-3.50834e-15,0.0589287
0,0,0,0,1,0,12,-7.01492,-1.72449,-45.3051,-89.9649,2.14279e-15,-179.941
0,0,0,0,1,1,13,-7.02003,-4.7415,-45.3356,-89.9649,2.21852e-15,-179.941
0,0,0,0,1,2,14,-7.02201,-7.75839,-45.3503,-89.9649,1.16624e-15,-179.941
0,0,0,0,2,17,15,-5.31149,-1.72083,-45.3075,-89.9649,2.11449e-15,-179.941
0,0,0,0,2,16,16,-5.31774,-4.7368,-45.3326,-89.9649,2.2502e-15,-179.941
0,0,0,0,2,15,17,-5.32021,-7.75287,-45.3426,-89.9649,2.28914e-15,-179.941
0,0,0,1,0,5,18,-3.62588,-1.72095,-45.3212,-89.9649,2.12767e-15,-179.941
0,0,0,1,0,6,19,-3.62586,-4.73675,-45.3343,-89.9649,2.33979e-15,-179.941
0,0,0,1,0,7,20,-3.62362,-7.75108,-45.3303,-89.9649,2.28454e-15,-179.941
0,0,0,1,1,0,21,-1.90972,-3.56312,-45.3183,-89.9649,2.36162e-15,-179.941
0,0,0,1,1,1,22,-1.91536,-6.57944,-45.3408,-89.9649,2.2574e-15,-179.941
0,0,0,1,1,2,23,-1.9176,-9.59829,-45.3675,-89.9649,2.31948e-15,-179.941
0,0,0,1,2,17,24,-0.215206,-3.82369,-45.3297,-89.9649,2.29841e-15,-179.941
0,0,0,1,2,16,25,-0.217961,-6.84265,-45.3608,-89.9649,2.28748e-15,-179.941
0,0,0,1,2,15,26,-0.219671,-9.86188,-45.3909,-89.9649,2.49857e-15,-179.941
0,0,0,2,0,5,27,1.47401,-3.72828,-45.3287,-89.9649,2.47947e-15,-179.941
0,0,0,2,0,6,28,1.47412,-6.74507,-45.3521,-89.9649,2.35192e-15,-179.941
0,0,0,2,0,7,29,1.47423,-9.7618,-45.3662,-89.9649,2.71819e-15,-179.941
0,0,0,2,1,0,30,3.18448,-1.72814,-45.3569,-89.9649,2.16036e-15,-179.941
0,0,0,2,1,1,31,3.18253,-4.74282,-45.3464,-89.9649,2.45263e-15,-179.941
0,0,0,2,1,2,32,3.18162,-7.75825,-45.3578,-89.9649,2.1037e-15,-179.941
0,0,0,2,2,17,33,4.89117,-1.72888,-45.3561,-89.9649,2.21748e-15,-179.941
0,0,0,2,2,16,34,4.88699,-4.74249,-45.3498,-89.9649,2.33235e-15,-179.941
0,0,0,2,2,15,35,4.88533,-7.75739,-45.3575,-89.9649,2.3648e-15,-179.941
0,0,0,3,0,5,36,6.5872,-1.731,-45.354,-89.9649,2.18533e-15,-179.941
0,0,0,3,0,6,37,6.58541,-4.7461,-45.3535,-89.9649,2.24703e-15,-179.941
0,0,0,3,0,7,38,6.58198,-7.75821,-45.3478,-89.9649,4.49581e-15,-179.941
0,0,1,3,0,5,39,-6.4931,-1.72617,-46.7177,-89.9649,-3.50834e-15,0.0589287
0,0,1,3,0,6,40,-6.48944,-4.74157,-46.7421,-89.9649,-3.50834e-15,0.0589287
0,0,1,3,0,7,41,-6.4864,-7.7584,-46.7699,-89.9649,-3.50834e-15,0.0589287
0,0,1,2,2,17,42,-4.80156,-1.72302,-46.7441,-89.9649,-3.50834e-15,0.0589287
0,0,1,2,2,16,43,-4.79402,-4.73856,-46.7583,-89.9649,-3.50834e-15,0.0589287
0,0,1,2,2,15,44,-4.78633,-7.75346,-46.7853,-89.9649,-3.50834e-15,0.0589287
0,0,1,2,1,0,45,-3.09957,-1.71901,-46.7224,-89.9649,-3.50834e-15,0.0589287
0,0,1,2,1,1,46,-3.09235,-4.73393,-46.7386,-89.9649,-3.50834e-15,0.0589287
0,0,1,2,1,2,47,-3.0855,-7.75122,-46.7808,-89.9649,-3.50834e-15,0.0589287
0,0,1,2,0,5,48,-1.37856,-3.72868,-46.736,-89.9649,-3.50834e-15,0.0589287
0,0,1,2,0,6,49,-1.37644,-6.74671,-46.7744,-89.9649,-3.50834e-15,0.0589287
0,0,1,2,0,7,50,-1.37422,-9.76373,-46.7911,-89.9649,-3.50834e-15,0.0589287
0,0,1,1,2,17,51,0.318081,-3.819,-46.7462,-89.9649,-3.50834e-15,0.0589287
0,0,1,1,2,16,52,0.320648,-6.83827,-46.7922,-89.9649,-3.50834e-15,0.0589287
0,0,1,1,2,15,53,0.322718,-9.85459,-46.8034,-89.9649,-3.50834e-15,0.0589287
0,0,1,1,1,0,54,2.00451,-3.56659,-46.7488,-89.9649,-3.50834e-15,0.0589287
0,0,1,1,1,1,55,2.01115,-6.5829,-46.7701,-89.9649,-3.50834e-15,0.0589287
0,0,1,1,1,2,56,2.01527,-9.5984,-46.7799,-89.9649,-3.50834e-15,0.0589287
0,0,1,1,0,5,57,3.72567,-1.72737,-46.7674,-89.9649,-3.50834e-15,0.0589287
0,0,1,1,0,6,58,3.72411,-4.74114,-46.7596,-89.9649,-3.50834e-15,0.0589287
0,0,1,1,0,7,59,3.72674,-7.75765,-46.7819,-89.9649,-3.50834e-15,0.0589287
0,0,1,0,2,17,60,5.41915,-1.72805,-46.7594,-89.9649,-3.50834e-15,0.0589287
0,0,1,0,2,16,61,5.42194,-4.7428,-46.7701,-89.9649,-3.50834e-15,0.0589287
0,0,1,0,2,15,62,5.42507,-7.75821,-46.7841,-89.9649,-3.50834e-15,0.0589287
0,0,1,0,1,0,63,7.12761,-1.728,-46.7604,-89.9649,-3.50834e-15,0.0589287
0,0,1,0,1,1,64,7.12995,-4.74328,-46.7807,-89.9649,-3.50834e-15,0.0589287
0,0,1,0,1,2,65,7.12863,-7.75665,-46.7832,-89.9649,-3.50834e-15,0.0589287
0,1,2,0,0,5,66,-8.72842,-1.73206,-48.6067,-89.9649,2.19294e-15,-179.941
0,1,2,0,0,6,67,-8.73137,-4.74782,-48.6204,-89.9649,2.19124e-15,-179.941
0,1,2,3,1,0,68,8.24562,-1.74046,-48.5983,-89.9649,-3.51556e-15,-179.941
0,1,2,3,1,1,69,8.28814,-4.74894,-48.6611,-89.9649,2.21316e-15,-179.941
0,1,2,3,2,17,70,9.99409,-1.73649,-48.6771,-89.9649,1.12984e-15,-179.941
0,1,2,3,2,16,71,9.99096,-4.75161,-48.6758,-89.9649,1.27927e-15,-179.941
0,1,3,3,2,17,72,-9.8747,-1.73635,-50.02,-89.9649,-3.50834e-15,0.0589287
0,1,3,3,2,16,73,-9.87697,-4.75099,-50.0336,-89.9649,-3.50834e-15,0.0589287
0,1,3,3,1,0,74,-8.17359,-1.7343,-50.0233,-89.9649,-3.50834e-15,0.0589287
0,1,3,3,1,1,75,-8.17734,-4.7507,-50.0467,-89.9649,-3.50834e-15,0.0589287
0,1,3,0,0,5,76,8.82738,-1.74006,-50.0869,-89.9649,-3.50834e-15,0.0589287
0,1,3,0,0,6,77,8.82641,-4.75525,-50.0914,-89.9649,-3.50834e-15,0.0589287
0,1,2,0,1,0,78,-7.02521,-1.73152,-48.6046,-89.9649,2.16172e-15,-179.941
0,1,2,0,1,1,79,-7.0267,-4.7464,-48.6133,-89.9649,2.22432e-15,-179.941
0,1,2,0,1,2,80,-7.02815,-7.76143,-48.6129,-89.9649,1.77284e-15,-179.941
0,1,2,0,2,17,81,-5.3185,-1.72875,-48.6081,-89.9649,2.03437e-15,-179.941
0,1,2,0,2,16,82,-5.32152,-4.74299,-48.608,-89.9649,2.19635e-15,-179.941
0,1,2,0,2,15,83,-5.32511,-7.75921,-48.6117,-89.9649,2.20157e-15,-179.941
0,1,2,1,0,5,84,-3.61972,-1.72401,-48.6175,-89.9649,2.09162e-15,-179.941
0,1,2,1,0,6,85,-3.62107,-4.73748,-48.608,-89.9649,2.27544e-15,-179.941
0,1,2,1,0,7,86,-3.62266,-7.75304,-48.6097,-89.9649,2.29216e-15,-179.941
0,1,2,1,1,0,87,-1.91648,-3.57139,-48.6084,-89.9649,2.28257e-15,-179.941
0,1,2,1,1,1,88,-1.91847,-6.58635,-48.6156,-89.9649,2.25862e-15,-179.941
0,1,2,1,1,2,89,-1.92114,-9.60334,-48.6266,-89.9649,2.27448e-15,-179.941
0,1,2,1,2,17,90,-0.220836,-3.82735,-48.618,-89.9649,2.1602e-15,-179.941
0,1,2,1,2,16,91,-0.221658,-6.84538,-48.6443,-89.9649,2.24594e-15,-179.941
0,1,2,1,2,15,92,-0.223058,-9.86281,-48.6537,-89.9649,2.12464e-15,-179.941
0,1,2,2,0,5,93,1.47906,-3.73324,-48.6202,-89.9649,2.26729e-15,-179.941
0,1,2,2,0,6,94,1.47794,-6.74848,-48.6229,-89.9649,2.3254e-15,-179.941
0,1,2,2,0,7,95,1.47672,-9.76464,-48.6268,-89.9649,2.23207e-15,-179.941
0,1,2,2,1,0,96,3.18687,-1.73053,-48.6613,-89.9649,1.97032e-15,-179.941
0,1,2,2,1,1,97,3.18323,-4.74303,-48.6271,-89.9649,2.40236e-15,-179.941
0,1,2,2,1,2,98,3.18141,-7.75877,-48.6284,-89.9649,2.27915e-15,-179.941
0,1,2,2,2,17,99,4.88701,-1.73373,-48.66,-89.9649,2.20752e-15,-179.941
0,1,2,2,2,16,100,4.88429,-4.74757,-48.6407,-89.9649,2.26078e-15,-179.941
0,1,2,2,2,15,101,4.88221,-7.76208,-48.638,-89.9649,2.17291e-15,-179.941
0,1,2,3,0,5,102,6.54562,-1.74046,-48.5966,-89.9649,-3.51556e-15,-179.941
0,1,2,3,0,6,103,6.54562,-4.75546,-48.5984,-89.9649,-3.51556e-15,-179.941
0,1,2,3,0,7,104,6.54562,-7.77046,-48.6003,-89.9649,-3.51556e-15,-179.941
0,1,3,3,0,5,105,-6.47319,-1.73748,-50.0317,-89.9649,-3.50834e-15,0.0589287
0,1,3,3,0,6,106,-6.47543,-4.75327,-50.0519,-89.9649,-3.50834e-15,0.0589287
0,1,3,3,0,7,107,-6.47542,-7.76713,-50.0436,-89.9649,-3.50834e-15,0.0589287
0,1,3,2,2,17,108,-4.76568,-1.73818,-50.0432,-89.9649,-3.50834e-15,0.0589287
0,1,3,2,2,16,109,-4.76817,-4.75204,-50.0436,-89.9649,-3.50834e-15,0.0589287
0,1,3,2,2,15,110,-4.77385,-7.76965,-50.0578,-89.9649,-3.50834e-15,0.0589287
0,1,3,2,1,0,111,-3.06775,-1.7365,-50.0474,-89.9649,-3.50834e-15,0.0589287
0,1,3,2,1,1,112,-3.06858,-4.74997,-50.0308,-89.9649,-3.50834e-15,0.0589287
0,1,3,2,1,2,113,-3.07224,-7.76482,-50.0328,-89.9649,-3.50834e-15,0.0589287
0,1,3,2,0,5,114,-1.37385,-3.74057,-50.0329,-89.9649,-3.50834e-15,0.0589287
0,1,3,2,0,6,115,-1.37553,-6.75652,-50.0462,-89.9649,-3.50834e-15,0.0589287
0,1,3,2,0,7,116,-1.37648,-9.77218,-50.0452,-89.9649,-3.50834e-15,0.0589287
0,1,3,1,2,17,117,0.322431,-3.8323,-50.044,-89.9649,-3.50834e-15,0.0589287
0,1,3,1,2,16,118,0.321559,-6.85016,-50.0692,-89.9649,-3.50834e-15,0.0589287
0,1,3,1,2,15,119,0.321054,-9.86695,-50.0713,-89.9649,-3.50834e-15,0.0589287
0,1,3,1,1,0,120,2.02881,-3.5813,-50.0564,-89.9649,-3.50834e-15,0.0589287
0,1,3,1,1,1,121,2.02516,-6.59589,-50.0582,-89.9649,-3.50834e-15,0.0589287
0,1,3,1,1,2,122,2.02246,-9.61187,-50.0617,-89.9649,-3.50834e-15,0.0589287
0,1,3,1,0,5,123,3.73131,-1.73988,-50.0781,-89.9649,-3.50834e-15,0.0589287
0,1,3,1,0,6,124,3.7279,-4.75422,-50.0719,-89.9649,-3.50834e-15,0.0589287
0,1,3,1,0,7,125,3.72414,-7.76568,-50.0504,-89.9649,-3.50834e-15,0.0589287
0,1,3,0,2,17,126,5.42838,-1.74058,-50.0796,-89.9649,-3.50834e-15,0.0589287
0,1,3,0,2,16,127,5.42569,-4.75449,-50.0702,-89.9649,-3.50834e-15,0.0589287
0,1,3,0,2,15,128,5.42483,-7.76897,-50.073,-89.9649,-3.50834e-15,0.0589287
0,1,3,0,1,0,129,7.13062,-1.74169,-50.0813,-89.9649,-3.50834e-15,0.0589287
0,1,3,0,1,1,130,7.12768,-4.75592,-50.0808,-89.9649,-3.50834e-15,0.0589287
0,1,3,0,1,2,131,7.12447,-7.76864,-50.071,-89.9649,-3.50834e-15,0.0589287
0,2,4,0,0,5,132,-10.4603,-1.72961,-52.2629,-89.9649,2.15564e-15,-179.941
0,2,4,0,0,6,133,-10.4579,-4.74349,-52.2498,-89.9649,1.94447e-15,-179.941
0,2,4,3,3,22,134,9.9487,-1.72502,-52.3326,-89.9649,1.85665e-15,-179.941
0,2,4,3,3,21,135,9.94924,-4.73913,-52.3114,-89.9649,2.26227e-15,-179.941
0,2,5,3,3,22,136,-9.89974,-1.73349,-53.6791,-89.9649,-3.50834e-15,0.0589287
0,2,5,3,3,21,137,-9.90347,-4.74891,-53.6923,-89.9649,-3.50834e-15,0.0589287
0,2,5,0,0,5,138,10.5073,-1.74066,-53.7312,-89.9649,-3.50834e-15,0.0589287
0,2,5,0,0,6,139,10.5063,-4.75615,-53.7461,-89.9649,-3.50834e-15,0.0589287
0,2,4,0,1,0,140,-8.74701,-1.72153,-52.2741,-89.9649,2.19432e-15,-179.941
0,2,4,0,1,1,141,-8.74875,-4.73605,-52.2682,-89.9649,2.28379e-15,-179.941
0,2,4,0,1,2,142,-8.75277,-7.75203,-52.2774,-89.9649,2.50019e-15,-179.941
0,2,4,0,2,17,143,-7.05487,-1.72332,-52.2731,-89.9649,2.20945e-15,-179.941
0,2,4,0,2,16,144,-7.05466,-4.73784,-52.2592,-89.9649,2.26779e-15,-179.941
0,2,4,0,2,15,145,-7.05683,-7.75512,-52.2657,-89.9649,2.54092e-15,-179.941
0,2,4,1,2,17,146,-1.95783,-3.57247,-52.2698,-89.9649,2.19818e-15,-179.941
0,2,4,1,2,16,147,-1.95647,-6.58823,-52.2737,-89.9649,2.3002e-15,-179.941
0,2,4,1,2,15,148,-1.95578,-9.60311,-52.263,-89.9649,2.38775e-15,-179.941
0,2,4,2,0,5,149,-0.253613,-3.82292,-52.2744,-89.9649,1.90578e-15,-179.941
0,2,4,2,0,6,150,-0.252889,-6.83776,-52.272,-89.9649,2.23374e-15,-179.941
0,2,4,2,0,7,151,-0.253833,-9.85982,-52.3056,-89.9649,2.19553e-15,-179.941
0,2,4,2,1,0,152,1.43303,-3.73208,-52.2818,-89.9649,1.98523e-15,-179.941
0,2,4,2,1,1,153,1.4363,-6.74717,-52.2772,-89.9649,2.36165e-15,-179.941
0,2,4,2,1,2,154,1.44035,-9.76597,-52.2899,-89.9649,2.28453e-15,-179.941
0,2,4,3,1,0,155,6.55474,-1.71917,-52.3267,-89.9649,1.99467e-15,-179.941
0,2,4,3,1,1,156,6.5517,-4.73259,-52.2946,-89.9649,2.27524e-15,-179.941
0,2,4,3,1,2,157,6.55074,-7.74834,-52.2966,-89.9649,2.0868e-15,-179.941
0,2,4,3,2,17,158,8.24732,-1.72514,-52.3308,-89.9649,1.98226e-15,-179.941
0,2,4,3,2,16,159,8.24679,-4.73896,-52.3082,-89.9649,2.29933e-15,-179.941
0,2,4,3,2,15,160,8.24685,-7.75301,-52.2952,-89.9649,2.98897e-15,-179.941
0,2,5,3,2,17,161,-8.20654,-1.73313,-53.6842,-89.9649,-3.50834e-15,0.0589287
0,2,5,3,2,16,162,-8.20861,-4.74867,-53.6992,-89.9649,-3.50834e-15,0.0589287
0,2,5,3,2,15,163,-8.20867,-7.76378,-53.6962,-89.9649,-3.50834e-15,0.0589287
0,2,5,3,1,0,164,-6.50221,-1.73704,-53.6956,-89.9649,-3.50834e-15,0.0589287
0,2,5,3,1,1,165,-6.504,-4.75074,-53.692,-89.9649,-3.50834e-15,0.0589287
0,2,5,3,1,2,166,-6.50737,-7.76633,-53.6932,-89.9649,-3.50834e-15,0.0589287
0,2,5,2,1,0,167,-1.40614,-3.74143,-53.6942,-89.9649,-3.50834e-15,0.0589287
0,2,5,2,1,1,168,-1.40831,-6.75862,-53.7093,-89.9649,-3.50834e-15,0.0589287
0,2,5,2,1,2,169,-1.41017,-9.78166,-53.766,-89.9649,-3.50834e-15,0.0589287
0,2,5,2,0,5,170,0.291082,-3.83404,-53.6996,-89.9649,-3.50834e-15,0.0589287
0,2,5,2,0,6,171,0.29032,-6.84919,-53.715,-89.9649,-3.50834e-15,0.0589287
0,2,5,2,0,7,172,0.290216,-9.86912,-53.7292,-89.9649,-3.50834e-15,0.0589287
0,2,5,1,2,17,173,1.99339,-3.5886,-53.7087,-89.9649,-3.50834e-15,0.0589287
0,2,5,1,2,16,174,1.99141,-6.60161,-53.6966,-89.9649,-3.50834e-15,0.0589287
0,2,5,1,2,15,175,1.99191,-9.62055,-53.7254,-89.9649,-3.50834e-15,0.0589287
0,2,5,0,2,17,176,7.10034,-1.74971,-53.7402,-89.9649,-3.50834e-15,0.0589287
0,2,5,0,2,16,177,7.09989,-4.76451,-53.7534,-89.9649,-3.50834e-15,0.0589287
0,2,5,0,2,15,178,7.09362,-7.77402,-53.7002,-89.9649,-3.50834e-15,0.0589287
0,2,5,0,1,0,179,8.78978,-1.74689,-53.7393,-89.9649,-3.50834e-15,0.0589287
0,2,5,0,1,1,180,8.79066,-4.76014,-53.7245,-89.9649,-3.50834e-15,0.0589287
0,2,5,0,1,2,181,8.79305,-7.77617,-53.726,-89.9649,-3.50834e-15,0.0589287
0,2,4,1,0,5,182,-5.35289,-1.71563,-52.2674,-89.9649,2.04442e-15,-179.941
