half,disk,layer,zone,con,tr,chipid,dx,dy,dz,dRx,dRy,dRz,dxErr,dyErr,dzErr,dRxErr,dRyErr,dRzErr,dxPull,dyPull,dzPull,dRxPull,dRyPull,dRzPull
0,0,0,0,0,5,0,0.022248,0.0120948,-0.0168111,0,0,-1.03452e-16,0.000177231,0.000147149,0.000614523,0,0,9.47906e-06,0.044496,0.0241896,-0.0336222,0,0,-1.03452e-14
0,0,0,0,0,6,1,0.0183217,0.0104628,-0.0355723,0,0,-9.08812e-17,0.000190426,0.000159217,0.000731653,0,0,1.16743e-05,0.0366433,0.0209257,-0.0711447,0,0,-9.08813e-15
0,0,0,3,1,0,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
0,0,0,3,1,1,3,0.0394463,0.00768861,-0.0545293,0,0,-1.01246e-16,0.000174508,0.000154918,0.000613967,0,0,1.03742e-05,0.0788925,0.0153772,-0.109059,0,0,-1.01246e-14
0,0,0,3,2,17,4,0.0419226,0.00948985,-0.0470586,0,0,-7.5548e-17,0.000894072,0.000247636,0.00506704,0,0,7.60977e-05,0.0838453,0.0189797,-0.094122,0,0,-7.55502e-15
0,0,0,3,2,16,5,0.044593,0.00770564,-0.068034,0,0,-7.61955e-17,0.00121373,0.00060947,0.00712571,0,0,0.000143343,0.0891862,0.0154113,-0.136082,0,0,-7.62033e-15
0,0,1,3,2,17,6,-0.057652,0.0170094,-0.0708059,0,0,0,0.000324111,0.000153153,0.00171174,0,0,2.5914e-05,-0.115304,0.0340189,-0.141613,0,0,0
0,0,1,3,2,16,7,-0.0471558,0.0160948,-0.0506097,0,0,0,0.000410341,0.000238178,0.00224575,0,0,2.88504e-05,-0.0943117,0.0321896,-0.10122,0,0,0
0,0,1,3,1,0,8,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
0,0,1,3,1,1,9,-0.0312396,0.0144422,-0.0377514,0,0,0,0.000152633,0.000141668,0.000457576,0,0,8.10151e-06,-0.0624792,0.0288845,-0.0755029,0,0,0
0,0,1,0,0,5,10,-0.0147935,0.0124726,-0.0588278,0,0,0,0.000200021,0.000142082,0.000854304,0,0,1.13672e-05,-0.0295871,0.0249451,-0.117656,0,0,0
0,0,1,0,0,6,11,-0.0141228,0.0120731,-0.0621618,0,0,0,0.000176349,0.000149479,0.000671546,0,0,1.36703e-05,-0.0282455,0.0241462,-0.124324,0,0,0
0,0,0,0,1,0,12,0.0360605,0.0179993,-0.0224933,0,0,-9.87568e-17,0.000151054,0.00014457,0.000355151,0,0,5.61219e-06,0.072121,0.0359985,-0.0449866,0,0,-9.87569e-15
0,0,0,0,1,1,13,0.0309431,0.0159915,-0.0511574,0,0,-1.00078e-16,0.000153705,0.000148259,0.000400125,0,0,7.34817e-06,0.0618863,0.0319831,-0.102315,0,0,-1.00079e-14
0,0,0,0,1,2,14,0.0289617,0.0141013,-0.0639898,0,0,-8.17128e-17,0.000292055,0.000310926,0.00194658,0,0,1.88445e-05,0.0579234,0.0282027,-0.127981,0,0,-8.17129e-15
0,0,0,0,2,17,15,0.0394848,0.0216619,-0.0231481,0,0,-9.82629e-17,0.000145862,0.000143855,0.000282913,0,0,4.6559e-06,0.0789696,0.0433238,-0.0462962,0,0,-9.82629e-15
0,0,0,0,2,16,16,0.0332407,0.0206896,-0.0463666,0,0,-1.00631e-16,0.000146706,0.000146186,0.000309467,0,0,5.56932e-06,0.0664814,0.0413791,-0.0927333,0,0,-1.00631e-14
0,0,0,0,2,15,17,0.0307653,0.0196241,-0.0545876,0,0,-1.01311e-16,0.000155924,0.000165187,0.000557444,0,0,9.50992e-06,0.0615306,0.0392481,-0.109175,0,0,-1.01311e-14
0,0,0,1,0,5,18,0.0251006,0.0215436,-0.0350734,0,0,-9.8493e-17,0.000143826,0.000143551,0.000232525,0,0,2.8493e-06,0.0502012,0.0430872,-0.0701468,0,0,-9.8493e-15
0,0,0,1,0,6,19,0.02512,0.020737,-0.0463156,0,0,-1.02195e-16,0.000144232,0.000145079,0.000261634,0,0,4.16652e-06,0.0502401,0.041474,-0.0926313,0,0,-1.02195e-14
0,0,0,1,0,7,20,0.0273576,0.0214048,-0.0405133,0,0,-1.01231e-16,0.0001469,0.000157026,0.000432943,0,0,7.73092e-06,0.0547152,0.0428096,-0.0810266,0,0,-1.01231e-14
0,0,0,1,1,0,21,0.0412551,0.025366,-0.029279,0,0,-1.02576e-16,0.000143135,0.000143688,0.00021583,0,0,2.71762e-06,0.0825103,0.0507321,-0.0585579,0,0,-1.02576e-14
0,0,0,1,1,1,22,0.0356186,0.0240435,-0.0499709,0,0,-1.00757e-16,0.000143466,0.000147503,0.000283368,0,0,4.8731e-06,0.0712372,0.048087,-0.0999418,0,0,-1.00757e-14
0,0,0,1,1,2,23,0.033375,0.0201971,-0.0748169,0,0,-1.01841e-16,0.000145831,0.000188117,0.000663886,0,0,1.00989e-05,0.06675,0.0403943,-0.149634,0,0,-1.01841e-14
0,0,0,1,2,17,24,0.0357733,0.0187936,-0.0388286,0,0,-1.01473e-16,0.000142955,0.000143603,0.000202135,0,0,2.56783e-06,0.0715466,0.0375871,-0.0776573,0,0,-1.01473e-14
0,0,0,1,2,16,25,0.0330189,0.0148356,-0.068031,0,0,-1.01282e-16,0.000143093,0.000147652,0.000280346,0,0,4.99495e-06,0.0660378,0.0296712,-0.136062,0,0,-1.01282e-14
0,0,0,1,2,15,26,0.031308,0.0106035,-0.0963165,0,0,-1.04966e-16,0.000143719,0.000181667,0.000589409,0,0,1.03802e-05,0.062616,0.021207,-0.192633,0,0,-1.04967e-14
0,0,0,2,0,5,27,0.024994,0.0202051,-0.0360783,0,0,-1.04633e-16,0.00014305,0.000143624,0.000204671,0,0,2.67108e-06,0.049988,0.0404103,-0.0721565,0,0,-1.04633e-14
0,0,0,2,0,6,28,0.0250983,0.0184198,-0.0576643,0,0,-1.02407e-16,0.000143325,0.000147709,0.000285419,0,0,5.04861e-06,0.0501965,0.0368396,-0.115329,0,0,-1.02407e-14
0,0,0,2,0,7,29,0.0252137,0.0166833,-0.0698967,0,0,-1.088e-16,0.000144832,0.000183019,0.000610028,0,0,1.06696e-05,0.0504274,0.0333666,-0.139793,0,0,-1.088e-14
0,0,0,2,1,0,30,0.0354629,0.014343,-0.0637553,0,0,-9.90635e-17,0.000143921,0.000143703,0.000254859,0,0,2.91089e-06,0.0709257,0.028686,-0.127511,0,0,-9.90635e-15
0,0,0,2,1,1,31,0.0335139,0.0146622,-0.0514633,0,0,-1.04165e-16,0.000143909,0.000144968,0.00025947,0,0,4.12728e-06,0.0670279,0.0293244,-0.102927,0,0,-1.04165e-14
0,0,0,2,1,2,32,0.0326057,0.0142369,-0.0609608,0,0,-9.80745e-17,0.000146064,0.000156868,0.000426655,0,0,7.3505e-06,0.0652114,0.0284737,-0.121922,0,0,-9.80746e-15
0,0,0,2,2,17,33,0.0421528,0.0136094,-0.0612262,0,0,-1.0006e-16,0.000145548,0.000143869,0.000282983,0,0,4.11469e-06,0.0843055,0.0272188,-0.122452,0,0,-1.0006e-14
0,0,0,2,2,16,34,0.0379673,0.014991,-0.0531132,0,0,-1.02065e-16,0.000146013,0.000146015,0.000300604,0,0,5.1616e-06,0.0759346,0.029982,-0.106226,0,0,-1.02065e-14
0,0,0,2,2,15,35,0.0363171,0.0150886,-0.0589843,0,0,-1.02632e-16,0.000151785,0.00016088,0.00049739,0,0,8.82341e-06,0.0726342,0.0301773,-0.117969,0,0,-1.02632e-14
0,0,0,3,0,5,36,0.0381793,0.0114795,-0.0574518,0,0,-9.94992e-17,0.000151826,0.00014483,0.000385131,0,0,5.91597e-06,0.0763586,0.0229591,-0.114904,0,0,-9.94992e-15
0,0,0,3,0,6,37,0.036389,0.0113875,-0.0550713,0,0,-1.00576e-16,0.000152762,0.000148439,0.000403674,0,0,6.79313e-06,0.0727781,0.022775,-0.110143,0,0,-1.00576e-14
0,0,0,3,0,7,38,0.0329658,0.0142692,-0.0474929,0,0,-1.39825e-16,0.000209509,0.0002227,0.00119794,0,0,2.20131e-05,0.0659315,0.0285384,-0.094986,0,0,-1.39825e-14
0,0,1,3,0,5,39,-0.0406661,0.0154451,-0.012313,0,0,0,0.000139954,0.000135844,0.000310348,0,0,5.17564e-06,-0.0813321,0.0308902,-0.0246259,0,0,0
0,0,1,3,0,6,40,-0.0370048,0.0150536,-0.034862,0,0,0,0.000141282,0.000138742,0.000339016,0,0,6.24984e-06,-0.0740097,0.0301072,-0.069724,0,0,0
0,0,1,3,0,7,41,-0.0339579,0.0132149,-0.0607958,0,0,0,0.000162845,0.000171514,0.00073008,0,0,1.06024e-05,-0.0679159,0.0264298,-0.121592,0,0,0
0,0,1,2,2,17,42,-0.0491211,0.0186025,-0.036956,0,0,0,0.000136434,0.000135353,0.00025058,0,0,3.79642e-06,-0.0982423,0.037205,-0.073912,0,0,0
0,0,1,2,2,16,43,-0.0415766,0.0180607,-0.049275,0,0,0,0.000137168,0.00013732,0.000282792,0,0,4.87294e-06,-0.0831531,0.0361214,-0.09855,0,0,0
0,0,1,2,2,15,44,-0.0338921,0.0181556,-0.0744477,0,0,0,0.000141951,0.000150866,0.000458996,0,0,8.57649e-06,-0.0677842,0.0363111,-0.148896,0,0,0
0,0,1,2,1,0,45,-0.0471264,0.0226113,-0.0134547,0,0,0,0.000135993,0.000135533,0.00029298,0,0,5.20164e-06,-0.0942528,0.0452226,-0.0269094,0,0,0
