half,disk,layer,zone,con,tr,chipid,dx,dy,dz,dRx,dRy,dRz
0,0,0,0,0,5,0,0.022248,0.0120948,-0.0168111,0,0,-1.03452e-16
0,0,0,0,0,6,1,0.0183217,0.0104628,-0.0355723,0,0,-9.08812e-17
0,0,0,3,1,0,2,0,0,0,0,0,0
0,0,0,3,1,1,3,0.0394463,0.00768861,-0.0545293,0,0,-1.01246e-16
0,0,0,3,2,17,4,0.0419226,0.00948985,-0.0470586,0,0,-7.5548e-17
0,0,0,3,2,16,5,0.044593,0.00770564,-0.068034,0,0,-7.61955e-17
0,0,1,3,2,17,6,-0.057652,0.0170094,-0.0708059,0,0,0
0,0,1,3,2,16,7,-0.0471558,0.0160948,-0.0506097,0,0,0
0,0,1,3,1,0,8,0,0,0,0,0,0
0,0,1,3,1,1,9,-0.0312396,0.0144422,-0.0377514,0,0,0
0,0,1,0,0,5,10,-0.0147935,0.0124726,-0.0588278,0,0,0
0,0,1,0,0,6,11,-0.0141228,0.0120731,-0.0621618,0,0,0
0,0,0,0,1,0,12,0.0360605,0.0179993,-0.0224933,0,0,-9.87568e-17
0,0,0,0,1,1,13,0.0309431,0.0159915,-0.0511574,0,0,-1.00078e-16
0,0,0,0,1,2,14,0.0289617,0.0141013,-0.0639898,0,0,-8.17128e-17
0,0,0,0,2,17,15,0.0394848,0.0216619,-0.0231481,0,0,-9.82629e-17
0,0,0,0,2,16,16,0.0332407,0.0206896,-0.0463666,0,0,-1.00631e-16
0,0,0,0,2,15,17,0.0307653,0.0196241,-0.0545876,0,0,-1.01311e-16
0,0,0,1,0,5,18,0.0251006,0.0215436,-0.0350734,0,0,-9.8493e-17
0,0,0,1,0,6,19,0.02512,0.020737,-0.0463156,0,0,-1.02195e-16
0,0,0,1,0,7,20,0.0273576,0.0214048,-0.0405133,0,0,-1.01231e-16
0,0,0,1,1,0,21,0.0412551,0.025366,-0.029279,0,0,-1.02576e-16
0,0,0,1,1,1,22,0.0356186,0.0240435,-0.0499709,0,0,-1.00757e-16
0,0,0,1,1,2,23,0.033375,0.0201971,-0.0748169,0,0,-1.01841e-16
0,0,0,1,2,17,24,0.0357733,0.0187936,-0.0388286,0,0,-1.01473e-16
0,0,0,1,2,16,25,0.0330189,0.0148356,-0.068031,0,0,-1.01282e-16
0,0,0,1,2,15,26,0.031308,0.0106035,-0.0963165,0,0,-1.04966e-16
0,0,0,2,0,5,27,0.024994,0.0202051,-0.0360783,0,0,-1.04633e-16
0,0,0,2,0,6,28,0.0250983,0.0184198,-0.0576643,0,0,-1.02407e-16
0,0,0,2,0,7,29,0.0252137,0.0166833,-0.0698967,0,0,-1.088e-16
0,0,0,2,1,0,30,0.0354629,0.014343,-0.0637553,0,0,-9.90635e-17
0,0,0,2,1,1,31,0.0335139,0.0146622,-0.0514633,0,0,-1.04165e-16
0,0,0,2,1,2,32,0.0326057,0.0142369,-0.0609608,0,0,-9.80745e-17
0,0,0,2,2,17,33,0.0421528,0.0136094,-0.0612262,0,0,-1.0006e-16
0,0,0,2,2,16,34,0.0379673,0.014991,-0.0531132,0,0,-1.02065e-16
0,0,0,2,2,15,35,0.0363171,0.0150886,-0.0589843,0,0,-1.02632e-16
0,0,0,3,0,5,36,0.0381793,0.0114795,-0.0574518,0,0,-9.94992e-17
0,0,0,3,0,6,37,0.036389,0.0113875,-0.0550713,0,0,-1.00576e-16
0,0,0,3,0,7,38,0.0329658,0.0142692,-0.0474929,0,0,-1.39825e-16
0,0,1,3,0,5,39,-0.0406661,0.0154451,-0.012313,0,0,0
0,0,1,3,0,6,40,-0.0370048,0.0150536,-0.034862,0,0,0
0,0,1,3,0,7,41,-0.0339579,0.0132149,-0.0607958,0,0,0
0,0,1,2,2,17,42,-0.0491211,0.0186025,-0.036956,0,0,0
0,0,1,2,2,16,43,-0.0415766,0.0180607,-0.049275,0,0,0
0,0,1,2,2,15,44,-0.0338921,0.0181556,-0.0744477,0,0,0
0,0,1,2,1,0,45,-0.0471264,0.0226113,-0.0134547,0,0,0
0,0,1,2,1,1,46,-0.0399102,0.0226888,-0.0278379,0,0,0
0,0,1,2,1,2,47,-0.0330548,0.0203918,-0.0682172,0,0,0
0,0,1,2,0,5,48,-0.0261143,0.0189407,-0.0240531,0,0,0
0,0,1,2,0,6,49,-0.0240028,0.0159045,-0.0606092,0,0,0
0,0,1,2,0,7,50,-0.0217763,0.0138812,-0.0755171,0,0,0
0,0,1,1,2,17,51,-0.0294769,0.0226151,-0.0324641,0,0,0
0,0,1,1,2,16,52,-0.0269097,0.0183413,-0.0766507,0,0,0
0,0,1,1,2,15,53,-0.024839,0.0170269,-0.0860334,0,0,0
0,0,1,1,1,0,54,-0.0430417,0.0210197,-0.0335436,0,0,0
0,0,1,1,1,1,55,-0.0364027,0.0197157,-0.0529061,0,0,0
0,0,1,1,1,2,56,-0.032288,0.0192122,-0.0609562,0,0,0
0,0,1,1,0,5,57,-0.0218869,0.0142429,-0.0514844,0,0,0
0,0,1,1,0,6,58,-0.0234461,0.0154705,-0.0418665,0,0,0
0,0,1,1,0,7,59,-0.0208123,0.013967,-0.0622951,0,0,0
0,0,1,0,2,17,60,-0.028402,0.0135652,-0.0416976,0,0,0
0,0,1,0,2,16,61,-0.0256169,0.0138147,-0.0505997,0,0,0
0,0,1,0,2,15,62,-0.0224876,0.0133975,-0.0626933,0,0,0
0,0,1,0,1,0,63,-0.0199444,0.0136067,-0.041039,0,0,0
0,0,1,0,1,1,64,-0.0175998,0.0133277,-0.0594494,0,0,0
0,0,1,0,1,2,65,-0.0189194,0.0149566,-0.0600483,0,0,0
0,1,2,0,0,5,66,0.0259445,0.00840963,-0.0258775,0,0,-9.96321e-17
0,1,2,0,0,6,67,0.023,0.0076518,-0.0376585,0,0,-9.96025e-17
0,1,2,3,1,0,68,0,0,0,0,0,0
0,1,2,3,1,1,69,0.0425189,0.00652243,-0.0609355,0,0,-9.9985e-17
0,1,2,3,2,17,70,0.0484686,0.00396405,-0.0770604,0,0,-8.10775e-17
0,1,2,3,2,16,71,0.045335,0.00384443,-0.0738279,0,0,-8.36856e-17
0,1,3,3,2,17,72,-0.0188696,0.00324582,-0.0180925,0,0,0
0,1,3,3,2,16,73,-0.0211378,0.00360836,-0.0298017,0,0,0
0,1,3,3,1,0,74,-0.0177572,0.00530234,-0.019654,0,0,0
0,1,3,3,1,1,75,-0.0215114,0.00390079,-0.0411771,0,0,0
0,1,3,0,0,5,76,-0.0167802,-0.00047051,-0.0657526,0,0,0
0,1,3,0,0,6,77,-0.017752,-0.000664161,-0.068367,0,0,0
0,1,2,0,1,0,78,0.0291634,0.0089463,-0.0219942,0,0,-9.90872e-17
0,1,2,0,1,1,79,0.0276668,0.00906763,-0.0288939,0,0,-1.0018e-16
0,1,2,0,1,2,80,0.0262236,0.00903799,-0.0266028,0,0,-9.22999e-17
0,1,2,0,2,17,81,0.0358686,0.0117159,-0.023732,0,0,-9.68645e-17
0,1,2,0,2,16,82,0.0328467,0.0124734,-0.0217693,0,0,-9.96916e-17
0,1,2,0,2,15,83,0.0292564,0.01126,-0.0236554,0,0,-9.97827e-17
0,1,2,1,0,5,84,0.034649,0.0164542,-0.0313571,0,0,-9.78637e-17
0,1,2,1,0,6,85,0.0333031,0.0179898,-0.0200094,0,0,-1.01072e-16
0,1,2,1,0,7,86,0.0317076,0.0174232,-0.0198591,0,0,-1.01364e-16
0,1,2,1,1,0,87,0.0378891,0.0150761,-0.0193848,0,0,-1.01196e-16
0,1,2,1,1,1,88,0.0358996,0.0151135,-0.0247415,0,0,-1.00778e-16
0,1,2,1,1,2,89,0.033228,0.0131294,-0.0339362,0,0,-1.01055e-16
0,1,2,1,2,17,90,0.0335371,0.0131173,-0.0270764,0,0,-9.90607e-17
0,1,2,1,2,16,91,0.0327159,0.0100802,-0.0515954,0,0,-1.00557e-16
0,1,2,1,2,15,92,0.031316,0.00765432,-0.0590821,0,0,-9.84401e-17
0,1,2,2,0,5,93,0.0334305,0.0132219,-0.0276428,0,0,-1.0093e-16
0,1,2,2,0,6,94,0.0323128,0.0129871,-0.0284579,0,0,-1.01944e-16
0,1,2,2,0,7,95,0.0310903,0.0118233,-0.0305276,0,0,-1.00315e-16
0,1,2,2,1,0,96,0.0412459,0.00992944,-0.0682177,0,0,-9.57466e-17
0,1,2,2,1,1,97,0.0376044,0.0124275,-0.0321225,0,0,-1.03287e-16
0,1,2,2,1,2,98,0.0357874,0.0116943,-0.0315923,0,0,-1.01137e-16
0,1,2,2,2,17,99,0.0413876,0.00673061,-0.0651695,0,0,-9.98865e-17
0,1,2,2,2,16,100,0.0386668,0.00788826,-0.0439846,0,0,-1.00816e-16
