half,disk,layer,zone,con,tr,chipid,dx,dy,dz,dRx,dRy,dRz
0,0,0,0,0,5,0,0.117848,-0.0581552,-0.0168111,0,0,-1.03452e-16
0,0,0,0,0,6,1,0.113922,-0.0597872,-0.0355723,0,0,-9.08812e-17
0,0,0,3,1,0,2,0.0956,-0.07025,0,0,0,0
0,0,0,3,1,1,3,0.135046,-0.0625614,-0.0545293,0,0,-1.01246e-16
0,0,0,3,2,17,4,0.137523,-0.0607602,-0.0470586,0,0,-7.5548e-17
0,0,0,3,2,16,5,0.140193,-0.0625444,-0.068034,0,0,-7.61955e-17
0,0,1,3,2,17,6,0.037948,-0.0532406,-0.0708059,0,0,0
0,0,1,3,2,16,7,0.0484442,-0.0541552,-0.0506097,0,0,0
0,0,1,3,1,0,8,0.0956,-0.07025,0,0,0,0
0,0,1,3,1,1,9,0.0643604,-0.0558078,-0.0377514,0,0,0
0,0,1,0,0,5,10,0.0808065,-0.0577774,-0.0588278,0,0,0
0,0,1,0,0,6,11,0.0814772,-0.0581769,-0.0621618,0,0,0
0,0,0,0,1,0,12,0.13166,-0.0522507,-0.0224933,0,0,-9.87568e-17
0,0,0,0,1,1,13,0.126543,-0.0542585,-0.0511574,0,0,-1.00078e-16
0,0,0,0,1,2,14,0.124562,-0.0561487,-0.0639898,0,0,-8.17128e-17
0,0,0,0,2,17,15,0.135085,-0.0485881,-0.0231481,0,0,-9.82629e-17
0,0,0,0,2,16,16,0.128841,-0.0495604,-0.0463666,0,0,-1.00631e-16
0,0,0,0,2,15,17,0.126365,-0.0506259,-0.0545876,0,0,-1.01311e-16
0,0,0,1,0,5,18,0.120701,-0.0487064,-0.0350734,0,0,-9.8493e-17
0,0,0,1,0,6,19,0.12072,-0.049513,-0.0463156,0,0,-1.02195e-16
0,0,0,1,0,7,20,0.122958,-0.0488452,-0.0405133,0,0,-1.01231e-16
0,0,0,1,1,0,21,0.136855,-0.044884,-0.029279,0,0,-1.02576e-16
0,0,0,1,1,1,22,0.131219,-0.0462065,-0.0499709,0,0,-1.00757e-16
0,0,0,1,1,2,23,0.128975,-0.0500529,-0.0748169,0,0,-1.01841e-16
