half,disk,layer,zone,con,tr,chipid,dx,dy,dz,dRx,dRy,dRz
0,0,0,0,0,5,0,-8.68215,-1.75816,-45.3057,-90,2.41899e-15,-180
0,0,0,0,0,6,1,-8.68608,-4.77479,-45.3245,-90,1.69876e-15,-180
0,0,0,3,1,0,2,8.2956,-1.77025,-45.2889,-90,-3.50835e-15,-180
0,0,0,3,1,1,3,8.33505,-4.77756,-45.3434,-90,2.29259e-15,-180
0,0,0,3,2,17,4,10.0375,-1.76076,-45.336,-90,8.20225e-16,-180
0,0,0,3,2,16,5,10.0402,-4.77754,-45.3569,-90,8.57327e-16,-180
0,0,1,3,2,17,6,-9.86205,-1.75324,-46.7819,-90,-3.50835e-15,-0
0,0,1,3,2,16,7,-9.85156,-4.76916,-46.7617,-90,-3.50835e-15,-0
0,0,1,3,1,0,8,-8.1044,-1.77025,-46.7111,-90,-3.50835e-15,-0
0,0,1,3,1,1,9,-8.13564,-4.77081,-46.7489,-90,-3.50835e-15,-0
0,0,1,0,0,5,10,8.88081,-1.75778,-46.7699,-90,-3.50835e-15,-0
0,0,1,0,0,6,11,8.88148,-4.77318,-46.7733,-90,-3.50835e-15,-0
0,0,0,0,1,0,12,-6.96834,-1.75225,-45.3114,-90,2.15e-15,-180
0,0,0,0,1,1,13,-6.97346,-4.76926,-45.3401,-90,2.22572e-15,-180
0,0,0,0,1,2,14,-6.97544,-7.78615,-45.3529,-90,1.17344e-15,-180
0,0,0,0,2,17,15,-5.26492,-1.74859,-45.312,-90,2.1217e-15,-180
0,0,0,0,2,16,16,-5.27116,-4.76456,-45.3353,-90,2.2574e-15,-180
0,0,0,0,2,15,17,-5.27363,-7.78063,-45.3435,-90,2.29634e-15,-180
0,0,0,1,0,5,18,-3.5793,-1.74871,-45.324,-90,2.13488e-15,-180
0,0,0,1,0,6,19,-3.57928,-4.76451,-45.3352,-90,2.347e-15,-180
0,0,0,1,0,7,20,-3.57704,-7.77885,-45.3294,-90,2.29174e-15,-180
0,0,0,1,1,0,21,-1.86314,-3.59088,-45.3182,-90,2.36883e-15,-180
0,0,0,1,1,1,22,-1.86878,-6.60721,-45.3389,-90,2.26461e-15,-180
0,0,0,1,1,2,23,-1.87102,-9.62605,-45.3637,-90,2.32668e-15,-180
0,0,0,1,2,17,24,-0.168627,-3.85146,-45.3277,-90,2.30561e-15,-180
0,0,0,1,2,16,25,-0.171381,-6.87041,-45.3569,-90,2.29468e-15,-180
0,0,0,1,2,15,26,-0.173092,-9.88965,-45.3852,-90,2.50578e-15,-180
0,0,0,2,0,5,27,1.52059,-3.75604,-45.325,-90,2.48668e-15,-180
0,0,0,2,0,6,28,1.5207,-6.77283,-45.3466,-90,2.35912e-15,-180
0,0,0,2,0,7,29,1.52081,-9.78957,-45.3588,-90,2.7254e-15,-180
0,0,0,2,1,0,30,3.23106,-1.75591,-45.3527,-90,2.16757e-15,-180
0,0,0,2,1,1,31,3.22911,-4.77059,-45.3404,-90,2.45984e-15,-180
0,0,0,2,1,2,32,3.22821,-7.78601,-45.3499,-90,2.1109e-15,-180
0,0,0,2,2,17,33,4.93775,-1.75664,-45.3501,-90,2.22468e-15,-180
0,0,0,2,2,16,34,4.93357,-4.77026,-45.342,-90,2.33956e-15,-180
0,0,0,2,2,15,35,4.93192,-7.78516,-45.3479,-90,2.372e-15,-180
0,0,0,3,0,5,36,6.63378,-1.75877,-45.3464,-90,2.19253e-15,-180
0,0,0,3,0,6,37,6.63199,-4.77386,-45.344,-90,2.25423e-15,-180
0,0,0,3,0,7,38,6.62857,-7.78598,-45.3364,-90,4.50301e-15,-180
0,0,1,3,0,5,39,-6.44507,-1.7548,-46.7234,-90,-3.50835e-15,-0
0,0,1,3,0,6,40,-6.4414,-4.7702,-46.746,-90,-3.50835e-15,-0
0,0,1,3,0,7,41,-6.43836,-7.78704,-46.7719,-90,-3.50835e-15,-0
0,0,1,2,2,17,42,-4.75352,-1.75165,-46.7481,-90,-3.50835e-15,-0
0,0,1,2,2,16,43,-4.74598,-4.76719,-46.7604,-90,-3.50835e-15,-0
0,0,1,2,2,15,44,-4.73829,-7.78209,-46.7855,-90,-3.50835e-15,-0
0,0,1,2,1,0,45,-3.05153,-1.74764,-46.7246,-90,-3.50835e-15,-0
0,0,1,2,1,1,46,-3.04431,-4.76256,-46.7389,-90,-3.50835e-15,-0
0,0,1,2,1,2,47,-3.03745,-7.77986,-46.7793,-90,-3.50835e-15,-0
0,0,1,2,0,5,48,-1.33051,-3.75731,-46.7352,-90,-3.50835e-15,-0
0,0,1,2,0,6,49,-1.3284,-6.77535,-46.7717,-90,-3.50835e-15,-0
0,0,1,2,0,7,50,-1.32618,-9.79237,-46.7866,-90,-3.50835e-15,-0
0,0,1,1,2,17,51,0.366123,-3.84763,-46.7436,-90,-3.50835e-15,-0
0,0,1,1,2,16,52,0.36869,-6.86691,-46.7878,-90,-3.50835e-15,-0
0,0,1,1,2,15,53,0.370761,-9.88322,-46.7971,-90,-3.50835e-15,-0
0,0,1,1,1,0,54,2.05256,-3.59523,-46.7446,-90,-3.50835e-15,-0
0,0,1,1,1,1,55,2.0592,-6.61153,-46.764,-90,-3.50835e-15,-0
0,0,1,1,1,2,56,2.06331,-9.62704,-46.7721,-90,-3.50835e-15,-0
