half,disk,layer,zone,con,tr,chipid,dx,dy,dz,dRx,dRy,dRz
0,0,0,0,0,5,0,0,0,0,-0,0,-0
0,0,0,0,0,6,1,0,0,0,-0,0,-0
0,0,0,3,1,0,2,0,0,0,-0,0,-0
0,0,0,3,1,1,3,0,0,0,-0,0,-0
0,0,0,3,2,17,4,0.113319,-0.0344656,0,-0,0,-0
0,0,0,3,2,16,5,0.0623771,-0.0192463,0,-0,0,-0
0,0,1,3,2,17,6,0,0,0,-0,0,-0
0,0,1,3,2,16,7,0.0741288,-0.014821,0,-0,0,-0
0,0,1,3,1,0,8,0.0714418,-0.0124692,0,-0,0,-0
0,0,1,3,1,1,9,0.0625599,-0.00907177,0,-0,0,-0
0,0,1,0,0,5,10,0,0,0,-0,0,-0
0,0,1,0,0,6,11,0.0756341,-0.0119369,0,-0,0,-0
0,0,0,0,1,0,12,0.0689419,-0.00805329,0,-0,0,-0
0,0,0,0,1,1,13,0.0606353,-0.00632938,0,-0,0,-0
0,0,0,0,1,2,14,0,0,0,-0,0,-0
0,0,0,0,2,17,15,0.0615204,-0.0123213,0,-0,0,-0
0,0,0,0,2,16,16,0.0583061,-0.00994069,0,-0,0,-0
0,0,0,0,2,15,17,0.0519322,-0.00946437,0,-0,0,-0
0,0,0,1,0,5,18,0,0,0,-0,0,-0
0,0,0,1,0,6,19,0.0702451,-0.00929934,0,-0,0,-0
0,0,0,1,0,7,20,0.0593721,-0.00742309,0,-0,0,-0
0,0,0,1,1,0,21,0.0509176,-0.00639121,0,-0,0,-0
0,0,0,1,1,1,22,0,0,0,-0,0,-0
0,0,0,1,1,2,23,0.0594351,-0.0138677,0,-0,0,-0
0,0,0,1,2,17,24,0.0496076,-0.0131557,0,-0,0,-0
0,0,0,1,2,16,25,0.0459659,-0.0115817,0,-0,0,-0
0,0,0,1,2,15,26,0,0,0,-0,0,-0
0,0,0,2,0,5,27,0.0408697,-0.00939168,0,-0,0,-0
0,0,0,2,0,6,28,0.0395423,-0.0100349,0,-0,0,-0
0,0,0,2,0,7,29,0.0389172,-0.010704,0,-0,0,-0
0,0,0,2,1,0,30,0,0,0,-0,0,-0
