half,disk,layer,zone,con,tr,chipid,dx,dy,dz,dRx,dRy,dRz
0,0,0,0,0,5,0,0.0508737,-0.0295339,-0.0231493,-0,-6.84228e-49,-1.04928e-16
0,0,0,0,0,6,1,0.046239,-0.0314181,-0.0459736,-0,6.84228e-49,-9.40103e-17
0,0,0,3,1,0,2,0,2.22045e-16,-0.0004,-0,0,-0
0,0,0,3,1,1,3,0.0643094,-0.0331568,-0.0492333,-0,0,-9.9947e-17
0,0,0,3,2,17,4,0.0690142,-0.0328639,-0.053517,-0,3.42114e-49,-8.00606e-17
0,0,0,3,2,16,5,0.0683127,-0.0323457,-0.0571106,-0,0,-8.43378e-17
0,0,1,3,2,17,6,-0.0297184,-0.0268273,-0.081109,-0,0,-0
0,0,1,3,2,16,7,-0.0173294,-0.0272202,-0.051223,-0,0,-0
0,0,1,3,1,0,8,0,0,0.0004,-0,0,-0
0,0,1,3,1,1,9,-0.00329667,-0.0292676,-0.048799,-0,0,-0
0,0,1,0,0,5,10,0.0109241,-0.0309699,-0.057592,-0,0,-0
0,0,1,0,0,6,11,0.0113828,-0.0307976,-0.0599983,-0,0,-0
0,0,0,0,1,0,12,0.0640593,-0.0238098,-0.0342261,-0,6.84228e-49,-9.97832e-17
0,0,0,0,1,1,13,0.0591538,-0.0256491,-0.0607407,-0,6.84228e-49,-1.00456e-16
0,0,0,0,1,2,14,0.0576133,-0.026709,-0.0662073,-0,3.42114e-49,-8.21819e-17
0,0,0,0,2,17,15,0.0675982,-0.0201089,-0.0327988,-0,0,-9.84403e-17
0,0,0,0,2,16,16,0.0609022,-0.0212629,-0.0588472,-0,6.84228e-49,-1.01033e-16
0,0,0,0,2,15,17,0.0575029,-0.0235205,-0.0760821,-0,0,-1.03342e-16
0,0,0,1,0,5,18,0.0539677,-0.0199398,-0.037768,-0,0,-9.83619e-17
0,0,0,1,0,6,19,0.0526506,-0.0212172,-0.059561,-0,-6.84228e-49,-1.01905e-16
0,0,0,1,0,7,20,0.0536164,-0.0218866,-0.0636889,-0,-6.84228e-49,-1.02035e-16
