half,disk,layer,zone,con,tr,chipid,dx,dy,dz,dRx,dRy,dRz,dxErr,dyErr,dzErr,dRxErr,dRyErr,dRzErr,dxPull,dyPull,dzPull,dRxPull,dRyPull,dRzPull
0,0,0,0,0,5,0,0.000204544,-0.000116013,-0.00023709,0,0,-1.94825e-16,0.000167887,0.000140576,0.000607642,0,0,1.25022e-05,0.000409089,-0.000232026,-0.00047418,0,0,-1.94825e-14
0,0,0,0,0,6,1,8.40093e-05,-0.000124704,-0.000416164,0,0,-1.65898e-16,0.000174895,0.00015012,0.000667339,0,0,1.47005e-05,0.000168019,-0.000249407,-0.000832329,0,0,-1.65898e-14
0,0,0,3,1,0,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
0,0,0,3,1,1,3,7.294e-06,-0.000116321,-0.000536311,0,0,-1.81564e-16,0.000163562,0.000147364,0.000583718,0,0,1.24452e-05,1.4588e-05,-0.000232642,-0.00107262,0,0,-1.81564e-14
0,0,0,3,2,17,4,-0.000175133,-8.05594e-05,0.000369784,0,0,-1.32357e-16,0.000284831,0.000199556,0.00164523,0,0,8.0124e-05,-0.000350265,-0.000161119,0.000739572,0,0,-1.32362e-14
0,0,0,3,2,16,5,-9.18972e-06,-7.29667e-05,-0.000283761,0,0,-1.44517e-16,0.000242299,0.000192003,0.00125213,0,0,0.000105805,-1.83794e-05,-0.000145933,-0.000567523,0,0,-1.44525e-14
0,0,1,3,2,17,6,0.000298695,-0.000249737,-0.000575634,0,0,0,0.00023228,0.000141923,0.00118411,0,0,3.20725e-05,0.00059739,-0.000499474,-0.00115127,0,0,0
0,0,1,3,2,16,7,0.000220115,-8.83678e-05,0.000109851,0,0,0,0.000234301,0.000168248,0.00119741,0,0,3.50181e-05,0.000440231,-0.000176736,0.000219703,0,0,0
0,0,1,3,1,0,8,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
0,0,1,3,1,1,9,7.10339e-05,-0.000149531,-0.000523586,0,0,0,0.000145666,0.000135427,0.000464919,0,0,9.97883e-06,0.000142068,-0.000299062,-0.00104717,0,0,0
0,0,1,0,0,5,10,-0.000147518,-0.000122599,-3.31737e-05,0,0,0,0.000187413,0.000137118,0.00083312,0,0,1.53547e-05,-0.000295035,-0.000245197,-6.63475e-05,0,0,0
0,0,1,0,0,6,11,-4.88634e-05,-0.000115915,-0.000362679,0,0,0,0.000162075,0.000141173,0.000608324,0,0,1.53046e-05,-9.77268e-05,-0.000231829,-0.000725358,0,0,0
0,0,0,0,1,0,12,4.83126e-05,-0.000121272,-0.000620995,0,0,-1.80969e-16,0.000143684,0.000137543,0.000374207,0,0,7.05988e-06,9.66251e-05,-0.000242545,-0.00124199,0,0,-1.80969e-14
0,0,0,0,1,1,13,3.60688e-05,-0.000172438,-0.000701028,0,0,-1.82811e-16,0.000146961,0.000141687,0.000425146,0,0,9.4921e-06,7.21376e-05,-0.000344876,-0.00140206,0,0,-1.82811e-14
0,0,0,0,1,2,14,5.95055e-05,-0.00014339,-0.000832802,0,0,-1.37461e-16,0.000203235,0.000215958,0.0012433,0,0,3.25302e-05,0.000119011,-0.000286779,-0.00166561,0,0,-1.37462e-14
0,0,0,0,2,17,15,4.52144e-05,-0.000125574,-0.000708587,0,0,-1.77552e-16,0.0001376,0.000136493,0.000293013,0,0,5.84413e-06,9.04288e-05,-0.000251147,-0.00141717,0,0,-1.77553e-14
0,0,0,0,2,16,16,5.12336e-05,-0.000156138,-0.000660559,0,0,-1.84296e-16,0.000138697,0.000139276,0.000330861,0,0,7.09398e-06,0.000102467,-0.000312276,-0.00132112,0,0,-1.84296e-14
0,0,0,0,2,15,17,1.89843e-05,-0.000175677,-0.000724866,0,0,-1.90378e-16,0.000148691,0.000160514,0.000589335,0,0,1.25537e-05,3.79686e-05,-0.000351353,-0.00144973,0,0,-1.90378e-14
0,0,0,1,0,5,18,5.22747e-05,-0.000136264,-0.000792954,0,0,-1.77389e-16,0.000135252,0.000135954,0.000226406,0,0,3.52623e-06,0.000104549,-0.000272528,-0.00158591,0,0,-1.77389e-14
