half,disk,layer,zone,con,tr,chipid,dx,dy,dz,dRx,dRy,dRz,dxErr,dyErr,dzErr,dRxErr,dRyErr,dRzErr,dxPull,dyPull,dzPull,dRxPull,dRyPull,dRzPull
0,0,0,0,0,5,0,0.050915,-0.0197232,-0.0227594,0,0,-1.04875e-16,0.000162941,0.000136489,0.000591921,0,0,1.21994e-05,0.10183,-0.0394465,-0.0455188,0,0,-1.04875e-14
0,0,0,0,0,6,1,0.0465149,-0.0214259,-0.0436077,0,0,-9.40293e-17,0.000169939,0.000145895,0.000650018,0,0,1.44055e-05,0.0930299,-0.0428519,-0.0872155,0,0,-9.40294e-15
0,0,0,3,1,0,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
0,0,0,3,1,1,3,0.0644864,-0.0232938,-0.0494902,0,0,-9.99028e-17,0.0001596,0.00014333,0.000571428,0,0,1.21309e-05,0.128973,-0.0465877,-0.0989804,0,0,-9.99029e-15
0,0,0,3,2,17,4,0.0690509,-0.0230309,-0.0542732,0,0,-8.03416e-17,0.000276433,0.000193851,0.00159735,0,0,7.82966e-05,0.138102,-0.0460618,-0.108547,0,0,-8.0344e-15
0,0,0,3,2,16,5,0.0685842,-0.0225543,-0.0578135,0,0,-8.45232e-17,0.000241007,0.000187641,0.0012479,0,0,0.000101254,0.137168,-0.0451086,-0.115627,0,0,-8.45275e-15
0,0,1,3,2,17,6,-0.0309569,-0.0162254,-0.0823855,0,0,0,0.000223451,0.000137914,0.00113414,0,0,3.21315e-05,-0.0619137,-0.0324509,-0.164771,0,0,0
0,0,1,3,2,16,7,-0.0183615,-0.0163503,-0.0498776,0,0,0,0.000227827,0.000163395,0.00116519,0,0,3.52512e-05,-0.0367231,-0.0327005,-0.0997555,0,0,0
0,0,1,3,1,0,8,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
0,0,1,3,1,1,9,-0.0042924,-0.0183985,-0.0474476,0,0,0,0.000140657,0.000131295,0.000442178,0,0,9.91703e-06,-0.0085848,-0.0367971,-0.0948953,0,0,0
0,0,1,0,0,5,10,0.00961372,-0.0202357,-0.0585078,0,0,0,0.000182542,0.000133367,0.000814348,0,0,1.50002e-05,0.0192274,-0.0404714,-0.117016,0,0,0
0,0,1,0,0,6,11,0.010287,-0.0200353,-0.0608593,0,0,0,0.000158252,0.000137399,0.000595738,0,0,1.50726e-05,0.0205741,-0.0400706,-0.121719,0,0,0
0,0,0,0,1,0,12,0.0640278,-0.0139807,-0.0340867,0,0,-9.97771e-17,0.000139628,0.000133601,0.000365597,0,0,6.88884e-06,0.128056,-0.0279613,-0.0681735,0,0,-9.97771e-15
0,0,0,0,1,1,13,0.0593348,-0.0157411,-0.0592089,0,0,-1.00486e-16,0.000142776,0.000137718,0.000412821,0,0,9.26392e-06,0.11867,-0.0314823,-0.118418,0,0,-1.00486e-14
0,0,0,0,1,2,14,0.0578183,-0.0167008,-0.0641836,0,0,-8.21663e-17,0.000197769,0.000210447,0.00121776,0,0,3.17747e-05,0.115637,-0.0334015,-0.128368,0,0,-8.21667e-15
0,0,0,0,2,17,15,0.0675684,-0.0102729,-0.0325401,0,0,-9.84765e-17,0.000133675,0.000132565,0.000284903,0,0,5.69655e-06,0.135137,-0.0205457,-0.0650802,0,0,-9.84765e-15
0,0,0,0,2,16,16,0.0610023,-0.0114009,-0.0577776,0,0,-1.01035e-16,0.000134853,0.000135384,0.000321843,0,0,6.90892e-06,0.122005,-0.0228017,-0.115555,0,0,-1.01035e-14
0,0,0,0,2,15,17,0.0577317,-0.0135356,-0.0742002,0,0,-1.03407e-16,0.000144578,0.000156066,0.000575063,0,0,1.22348e-05,0.115463,-0.0270712,-0.1484,0,0,-1.03407e-14
0,0,0,1,0,5,18,0.0539159,-0.0100888,-0.0375325,0,0,-9.84738e-17,0.000131465,0.000132066,0.000219316,0,0,3.43733e-06,0.107832,-0.0201777,-0.075065,0,0,-9.84738e-15
0,0,0,1,0,6,19,0.0527074,-0.0114469,-0.0590993,0,0,-1.01557e-16,0.000131746,0.000133727,0.000255535,0,0,5.04121e-06,0.105415,-0.0228937,-0.118199,0,0,-1.01557e-14
0,0,0,1,0,7,20,0.0537704,-0.0119442,-0.0626174,0,0,-1.02103e-16,0.000134397,0.000145451,0.000417628,0,0,9.51347e-06,0.107541,-0.0238884,-0.125235,0,0,-1.02103e-14
0,0,0,1,1,0,21,0.0683805,-0.00767964,-0.0467849,0,0,-1.0205e-16,0.000130649,0.000132264,0.000201543,0,0,3.24669e-06,0.136761,-0.0153593,-0.0935699,0,0,-1.0205e-14
0,0,0,1,1,1,22,0.0626966,-0.00819749,-0.0590282,0,0,-1.01976e-16,0.000131038,0.000136328,0.000279435,0,0,5.89858e-06,0.125393,-0.016395,-0.118056,0,0,-1.01976e-14
0,0,0,1,1,2,23,0.0604614,-0.00998511,-0.0718179,0,0,-1.03679e-16,0.000133581,0.000174029,0.000629446,0,0,1.28991e-05,0.120923,-0.0199702,-0.143636,0,0,-1.03679e-14
0,0,0,1,2,17,24,0.0629314,-0.0136363,-0.0488698,0,0,-1.02754e-16,0.00013046,0.000132277,0.000193842,0,0,3.18357e-06,0.125863,-0.0272726,-0.0977397,0,0,-1.02754e-14
0,0,0,1,2,16,25,0.060206,-0.0163736,-0.0698934,0,0,-1.0243e-16,0.000130666,0.000136587,0.000276518,0,0,6.00035e-06,0.120412,-0.0327473,-0.139787,0,0,-1.0243e-14
0,0,0,1,2,15,26,0.0585216,-0.0184843,-0.0874652,0,0,-1.06899e-16,0.000131666,0.000170088,0.000572691,0,0,1.30447e-05,0.117043,-0.0369685,-0.174931,0,0,-1.069e-14
0,0,0,2,0,5,27,0.0521315,-0.0123751,-0.0481062,0,0,-1.05452e-16,0.000130603,0.000132315,0.000197545,0,0,3.25324e-06,0.104263,-0.0247502,-0.0962124,0,0,-1.05452e-14
0,0,0,2,0,6,28,0.0522107,-0.0135345,-0.0650676,0,0,-1.03104e-16,0.00013097,0.000136927,0.000287826,0,0,6.19516e-06,0.104421,-0.0270689,-0.130135,0,0,-1.03104e-14
0,0,0,2,0,7,29,0.0521958,-0.0140402,-0.0704923,0,0,-1.11131e-16,0.000133004,0.000173223,0.000606628,0,0,1.37728e-05,0.104392,-0.0280804,-0.140985,0,0,-1.11131e-14
